code,first_name,last_name,phonetic
UT-01,Rob,Bishop,(RAHB BIH-shoop) [OO as in good]
UT-02,Chris,Stewart,(KRISS STOO-ert)
UT-03,Jason,Chaffetz,(JAY-suhn CHAY-fits)
UT-04,Mia,Love,(MEE-uh LUHV)
VT-AL,Peter,Welch,(PEE-ter WELCH)
VA-01,Rob,Wittman,(RAHB WITT-min)
VA-02,Scott,Rigell,(SKAHT RIJ-uhl)
VA-03,Bobby,Scott,(BAH-bee SKAHT)
VA-04,Randy,Forbes,(RAN-dee FORBZ)
VA-05,Robert,Hurt,(RAH-bert HURT)
VA-06,Bob,Goodlatte,(BAHB GOOD-latt)
VA-07,Dave,Brat,(DAVE BRATT)
VA-08,Don,Beyer,(DAHN BAHY-er) [Rhymes with Buyer]
VA-09,Morgan,Griffith,(MORE-guhn GRIFF-uth)
VA-10,Barbara,Comstock,(BAR-bruh KAHM-stahk)
VA-11,Gerry,Connolly,(JAIR-ee KAH-nuh-lee)
WA-01,Suzan,DelBene,(SOO-zin del-BEN-ay)
WA-02,Rick,Larsen,(RICK LAR-suhn)
WA-03,Jaime,Herrera Beutler,(JAY-mee huh-RAIR-uh BUT-ler)
WA-04,Dan,Newhouse,(DAN NOO-hows)
WA-05,Cathy,McMorris Rodgers,(KATH-ee mick-MORE-iss RAH-jerz)
WA-06,Derek,Kilmer,(DARE-ick KILL-mer)
WA-07,Jim,McDermott,(JIM mick-DER-muht)
WA-08,Dave,Reichert,(DAVE RAHY-kert)
WA-09,Adam,Smith,(ADD-duhm SMITH)
WA-10,Denny,Heck,(DEH-nee HECK)
WV-01,David,McKinley,(DAY-vid mick-KIN-lee)
WV-02,Alex,Mooney,(AL-uhks MOO-nee)
WV-03,Evan,Jenkins,(EV-uhn JEN-kinz)
WI-01,Paul,Ryan,(PAWL RAHY-uhn)
WI-02,Mark,Pocan,(MARK poh-CAN)
WI-03,Ron,Kind,(RAHN KIND)
WI-04,Gwen,Moore,(GWEN MORE)
WI-05,Jim,Sensenbrenner,(JIM SEN-suhn-bren-er)
WI-06,Glenn,Grothman,(GLENN GROHTH-muhn)
WI-07,Sean,Duffy,(SHAWN DUH-fee)
WI-08,Reid,Ribble,(REED RIB-uhl)
WY-AL,Cynthia,Lummis,(SIN-thee-uh LUH-miss)
